date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-05-16 06:08:16,reminola,,0,22,13,"Soooo I woke up to some progressive news. The court has struck off the case of the four women who were among the women abducted by the AEPB, who refused to plead guilty. Sadly the others have pled guilty and now have criminal records. Well done @dorymanze #AbujaPoliceRaidonWomen",,@dorymanze,#AbujaPoliceRaidonWomen,1128904983724941312,https://twitter.com/reminola/status/1128904983724941312
2019-05-13 11:29:02,Naijapals,,0,2,0,"Nigerian Magistrate Brutally Tortured By Gunmen Who Abducted Him From His Home In Nasarawa State https://www.gistmania.com/talk/topic,388442.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1127898541949472768,https://twitter.com/Naijapals/status/1127898541949472768
2019-05-13 11:01:27,afflozy,,2,8,2,"Good morning @segalink sir we need your help. Our colleague name Wilson ikpe was abducted by men of Fsars this morning on his way home at the office bus stop in sandfil VI after night duty. we are not sure of his wearabout and not picking his calls @instablog9ja @instablog9ja",,@segalink @instablog9ja @instablog9ja,,1127891598996586496,https://twitter.com/afflozy/status/1127891598996586496
2019-05-11 17:15:02,canstardom,,0,3,0,"How I Was Abducted And R*ped Inside The Forest In Rivers – Senior Lecturer Tells Shocking Story",,,,1127260841760284672,https://twitter.com/canstardom/status/1127260841760284672
2019-05-11 07:29:32,Naijapals,,0,3,0,"How I Was Abducted, Raped By Three Men - Female Lecturer Narrates https://www.gistmania.com/talk/topic,388214.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1127113494355107840,https://twitter.com/Naijapals/status/1127113494355107840
2019-05-07 23:18:04,bcilori,,1,0,2,"the abducted guys one by one, a junior officer then steps forward and relays your ""offence"" to the senior cop who then uses his discretion to place a ""fine"" that matches your own offense. Anyway,y own friend (a journalist) was alleged to have been ""wandering in dark places"" pic.twitter.com/7NT757bJgl",,,,1125902649293975553,https://twitter.com/bcilori/status/1125902649293975553
2019-05-07 16:44:49,dareswagg,,0,0,0,"Just this evening. . . . 4. Buhari: Nigeria has over 1m displaced children who don’t know their parents. 5. I went to honour the police invitation and I was abducted by them. . . . Ademola Adeleke",,,,1125803683185405952,https://twitter.com/dareswagg/status/1125803683185405952
2019-05-07 16:44:08,dareswagg,,0,0,0,"Just this evening. . . . 1. Another container fell on Ojuelegba bridge, by the Barracks as the load was too much for the body. 2. OAU prof: I was abducted by herdsmen. . . . they collected over N5m before releasing me. 3. EXTRA: Nigerian leaders have mastered political",,,,1125803510707236866,https://twitter.com/dareswagg/status/1125803510707236866
2019-05-07 16:38:03,Naijapals,,0,4,3,"Herdsmen Collected Ransom Of Over N5M Before Releasing Me- Abducted OAU Lecturer https://www.gistmania.com/talk/topic,387865.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1125801979928690688,https://twitter.com/Naijapals/status/1125801979928690688
2019-05-07 09:09:33,Naijapals,,0,2,1,"Police Arrest 2 Kidnappers, Rescue 2-Year Old Abducted Inside MFM Church https://www.gistmania.com/talk/topic,387837.0.html?utm_source=dlvr.it&utm_medium=twitter …",,,,1125689110968950784,https://twitter.com/Naijapals/status/1125689110968950784
